id,fec_nacim,flg_empleado,gls_nacioncorta,gls_residencialarga,gls_profesionlarga,cod_sexo,gls_cod_estcivillarga,gls_niv_educaclarga,gls_sep_bieneslarga
10170,1943-04-23,N,Chile,Residencia Propia,PERIODISTA,F,Casado,Universitario Completo,SIN SEPARACIÓN
24533,1957-01-18,N,Chile, ,OTRA,F,Casado,Medio,SIN SEPARACIÓN
29167,1965-09-09,N,Chile, ,MATRONA,F,Casado,Universitario Completo,SIN SEPARACIÓN
1605,1950-01-23,N,Chile,Residencia Arrendada,OTRA,M,Casado,Sin Asignación,SIN SEPARACIÓN
28160,1970-11-12,N,Chile,Residencia Propia,INGENIERO AGRONOMO,F,Casado,Universitario Completo,SIN SEPARACIÓN
24067,1937-11-07,N,Chile,Residencia Propia,OTRA,F,Casado,Medio,SIN SEPARACIÓN
24574,1962-12-15,N,Chile,Residencia Familiar,ABOGADO,M,Soltero,Universitario Completo, 
861,1937-04-05,N,Chile,Residencia Propia,SECRETARIA,F,Casado,Técnico,SIN SEPARACIÓN
24045,1944-01-11,N,Chile,Residencia Propia,OTRA,F,Casado,Medio,CON SEPARACIÓN
24910,1956-05-16,N,Chile, ,OTRA,M,Casado,Sin Asignación,SIN SEPARACIÓN
763,1945-01-07,N,Chile,Residencia Propia,CIRUJANO DENTISTA,F,Casado,Universitario Completo,SIN SEPARACIÓN
34234,1968-11-27,N,Chile,Residencia Propia,OTRA,M,Casado,Sin Asignación,CON SEPARACIÓN
5602,1937-12-16,N,Chile,Residencia Propia,OTRA,F,Casado,Técnico,SIN SEPARACIÓN
5886,1960-05-29,N,Chile,Residencia Familiar,DISEÑADOR,F,Casado,Técnico,CON SEPARACIÓN
28803,1951-08-29,N,Chile,Propia con deuda,OTRA,M,Casado,Universitario Completo,SIN SEPARACIÓN
21301,1955-11-27,N,Chile,Residencia Propia,INGENIERO COMERCIAL,M,Casado,Universitario Completo,SIN SEPARACIÓN
10903,1946-04-17,N,Chile,Residencia Propia,ADMINISTRADOR PUBLICO,M,Casado,Universitario Completo,SIN SEPARACIÓN
10496,1959-06-06,N,Chile,Residencia Propia,CONTADOR AUDITOR,M,Casado,Universitario Completo,SIN SEPARACIÓN
5450,1946-06-29,N,Chile,Propia con deuda,INGENIERO COMERCIAL,F,Casado,Universitario Completo,SIN SEPARACIÓN
20102,1942-12-15,N,Chile,Residencia Propia,PSICOLOGO,F,Casado,Universitario Completo,CON SEPARACIÓN
5393,1948-07-05,N,Chile,Residencia Propia,ARQUITECTO,F,Soltero,Universitario Completo,-
28088,1977-04-21,N,Chile,Residencia Familiar,INGENIERO COMERCIAL,F,Casado,Universitario Completo,CON SEPARACIÓN
33763,1955-05-15,N,Chile,Residencia Propia,OTRA,F,Casado,Medio,SIN SEPARACIÓN
29029,1963-08-09,N,Chile,Residencia Propia,PAISAJISTA,F,Casado,Sin Asignación,CON SEPARACIÓN
15044,1953-04-24,N,Chile,Residencia Propia,MEDICO,M,Casado,Universitario Completo,CON SEPARACIÓN
23491,1971-06-29,N,Chile,Propia con deuda,ABOGADO,M,Casado,Universitario Completo,CON SEPARACIÓN
34657,1942-06-05,N,Chile,Residencia Propia,OTRA,F,Casado,Sin Asignación,SIN SEPARACIÓN
19251,1945-02-18,N,Chile,Residencia Propia,OTRA,F,Casado,Sin Asignación,SIN SEPARACIÓN
15808,1985-06-29,N,Chile,Propia con deuda,INGENIERO CIVIL INDUSTRIAL,M,Casado,Universitario Completo,CON SEPARACIÓN
32421,2010-11-03,N,Chile, ,OTRA,M,Soltero,Sin Asignación, 
33124,1983-12-14,N,Chile,Residencia Propia,MEDICO,M,Casado,Universitario Completo,CON SEPARACIÓN
27775,1983-07-13,N,Chile, ,OTRA,M,SIN INFORMACION,Sin Asignación, 
4616,1983-05-17,N,Chile, ,OTRA,M,SIN INFORMACION,Sin Asignación, 
8970,1988-08-25,N,Chile,Propia con deuda,MEDICO,F,Soltero,Universitario Completo, 
19218,1985-01-25,N,Chile,Residencia Familiar,PSICOLOGO,F,Soltero,Universitario Incompleto, 
35171,1973-08-07,N,Chile,Residencia Propia,RELACIONADOR PUBLICO,F,Casado,Sin Asignación,SIN SEPARACIÓN
30172,1971-11-15,N,Chile,Propia con deuda,INGENIERO CIVIL INDUSTRIAL,M,Soltero,Universitario Completo, 
7992,2005-12-30,N,Chile, ,OTRA,F,Soltero,Medio, 
25676,2009-03-04,N,Chile, ,OTRA,F,Soltero,Basico, 
1367,1962-08-07,N,Chile,Residencia Propia,DECORADOR DE INTERIORES,F,Casado,Universitario Completo,SIN SEPARACIÓN
26064,1997-06-03,N,Chile,Residencia Familiar,FONOAUDIOLOGO,F,Soltero,Universitario Incompleto, 
28327,1988-11-02,N,Chile,Residencia Familiar,INGENIERO CIVIL INDUSTRIAL,M,Soltero,Universitario Completo, 
22263,1978-12-02,N,Chile,Propia con deuda,ABOGADO,M,Casado,Universitario Completo,SIN SEPARACIÓN
23997,1958-07-14,N,Chile,Residencia Familiar,DECORADOR DE INTERIORES,F,Casado,Técnico,CON SEPARACIÓN
13520,1983-07-20,N,Chile,Residencia Familiar,ABOGADO,M,Casado,Universitario Completo,SIN SEPARACIÓN
36998,1982-03-31,N,Chile, ,OTRA,M,Casado,Sin Asignación, 
30734,1987-05-04,N,Chile,Residencia Familiar,INGENIERO COMERCIAL,M,Soltero,Universitario Completo, 
27896,1960-10-12,N,Chile, ,SECRETARIA,F,Casado,Sin Asignación, 
24840,1982-06-15,N,Chile,Residencia Familiar,INGENIERO CIVIL INDUSTRIAL,M,Soltero,Universitario Completo, 
23179,1981-06-29,N,Chile, ,OTRA,M,Casado,Sin Asignación, 
1510,1967-11-29,N,Chile,Residencia Propia,INGENIERO COMERCIAL,F,Casado,Universitario Completo,SIN SEPARACIÓN
13823,2007-08-01,N,Chile, ,OTRA,F,Soltero,Basico, 
6657,1982-03-04,N,Chile,Residencia Familiar,PERIODISTA,F,Soltero,Universitario Completo, 
37006,1955-06-29,N,Chile, ,PROFESOR,F,Casado,Universitario Completo, 
31389,1984-03-13,N,Chile,Propia con deuda,INGENIERO CIVIL INDUSTRIAL,M,Casado,Universitario Completo,SIN SEPARACIÓN
29394,1972-02-19,S,Chile, ,OTRA,F,Soltero,Sin Asignación, 
32094,1946-09-27,N,Chile, ,INGENIERO AGRONOMO,M,Casado,Universitario Completo,SIN SEPARACIÓN
30601,1990-07-31,N,Chile,Residencia Familiar,INGENIERO COMERCIAL,M,Soltero,Universitario Completo, 
32867,1986-10-14,N,Chile,Residencia Familiar,INGENIERO COMERCIAL,M,Casado,Universitario Completo,CON SEPARACIÓN
19291,1949-01-12,N,Chile,Residencia Propia,ECONOMISTA,M,Casado,Universitario Completo,CON SEPARACIÓN
18273,1994-10-31,N,Chile, ,OTRA,M,SIN INFORMACION,Sin Asignación, 
22886,1999-07-04,N,Chile, ,OTRA,M,SIN INFORMACION,Sin Asignación, 
27504,1973-07-03,N,Chile, ,OTRA,M,Casado,Sin Asignación, 
18074,1998-01-05,N,Chile, ,OTRA,M,Soltero,Sin Asignación, 
22698,1967-02-26,N,Chile, ,OTRA,F,Soltero,Universitario Completo, 
18455,1979-08-14,N,Chile,Residencia Propia,ARQUITECTO,M,Soltero,Universitario Completo, 
10904,1987-07-29,N,Chile,Residencia Propia,INGENIERO,M,Soltero,Técnico, 
10719,1961-07-19,N,Chile, ,OTRA,F,SIN INFORMACION,Sin Asignación, 
9897,1995-03-30,N,Chile, ,OTRA,M,Soltero,Sin Asignación, 
8844,1937-10-02,N,Chile, ,ADMINISTRADOR DE EMPRESAS,F,Casado,Sin Asignación, 
22743,1999-09-20,N,Chile, ,OTRA,M,SIN INFORMACION,Sin Asignación, 
31381,1978-11-05,N,Chile,Otras Residencias,INGENIERO CIVIL INDUSTRIAL,M,Casado,Universitario Completo,CON SEPARACIÓN
1786,2003-09-12,N,Chile, ,OTRA,M,Soltero,Sin Asignación,-
18091,1979-04-09,N,Chile, ,OTRA,M,Soltero,Sin Asignación,-
32070,1942-05-11,N,Chile, ,INGENIERO CIVIL,M,Casado,Universitario Completo, 
32024,1981-11-10,N,Chile,Residencia Propia,INGENIERO COMERCIAL,M,Casado,Universitario Completo,SIN SEPARACIÓN
24792,1942-09-10,N,Chile,Residencia Propia,OTRA,F,Casado,Sin Asignación,CON SEPARACIÓN
3304,1981-06-27,N,Chile,Residencia Propia,INGENIERO CIVIL INDUSTRIAL,M,Casado,Universitario Completo,CON SEPARACIÓN
24098,1953-09-23,N,Chile,Residencia Propia,ADMINISTRADOR EN COMERCIALIZACION,M,Casado,Universitario Completo,CON SEPARACIÓN
36675,1996-09-14,N,Chile, ,OTRA,M,SIN INFORMACION,Sin Asignación, 
25470,2001-12-13,N,Chile, ,OTRA,F,Soltero,Sin Asignación,-
13502,1962-11-25,N,Chile, ,INGENIERO CIVIL INDUSTRIAL,M,Casado,Universitario Completo, 
18492,1996-06-07,N,Chile,Residencia Familiar,NUTRICIONISTA,F,Soltero,Universitario Completo, 
22717,1997-04-01,N,Chile,Residencia Familiar,INGENIERO COMERCIAL,M,Soltero,Universitario Incompleto, 
32112,1963-08-01,N,Chile,Residencia Familiar,PROFESOR,F,Casado,Universitario Completo,CON SEPARACIÓN
36839,1959-03-02,N,Chile, ,OTRA,F,Soltero,Medio, 
27629,1979-01-23,N,Bolivia, ,OTRA,M,SIN INFORMACION,Sin Asignación, 
9004,1999-10-19,N,Chile, ,OTRA,M,SIN INFORMACION,Sin Asignación, 
4417,1944-06-11,N,Chile, ,OTRA,M,Casado,Sin Asignación, 
32238,1976-03-18,N,Chile, ,OTRA,M,Soltero,Sin Asignación, 
33231,1950-07-24,N,Chile,Residencia Propia,ABOGADO,M,SIN INFORMACION,Sin Asignación, 
12441,1972-09-20,S,Chile, ,OTRA,F,Soltero,Sin Asignación, 
32114,1947-11-11,N,Chile, ,OTRA,M,Soltero,Sin Asignación, 
32207,2007-02-01,N,Chile, ,OTRA,F,Soltero,Basico, 
13601,1993-05-07,N,Chile, ,OTRA,F,SIN INFORMACION,Sin Asignación, 
7745,1972-04-23,N,Chile, ,OTRA,F,Soltero,Sin Asignación,-
20735,1989-03-17,N,Chile,Residencia Familiar,INGENIERO COMERCIAL,M,Casado,Universitario Completo,CON SEPARACIÓN
36783,1973-03-24,N,Chile, ,EDUCADOR PARVULARIO,F,Casado,Universitario Completo, 
37140,2001-11-02,N,Chile, ,OTRA,F,Soltero,Medio, 
35899,1985-05-10,N,Chile,Residencia Familiar,PUBLICISTA,M,Casado,Universitario Completo,SIN SEPARACIÓN
9137,1977-06-21,N,Chile,Propia con deuda,INGENIERO CIVIL INDUSTRIAL,M,Casado,Universitario Completo,SIN SEPARACIÓN
32907,1978-03-29,N,Chile, ,INGENIERO COMERCIAL,F,SIN INFORMACION,Sin Asignación, 
22778,1973-02-14,N,Chile, ,INGENIERO CIVIL INDUSTRIAL,M,Casado,Universitario Completo, 
18233,1993-06-19,N,Chile, ,OTRA,F,SIN INFORMACION,Sin Asignación, 
9411,1984-04-25,N,Chile, ,OTRA,M,SIN INFORMACION,Sin Asignación, 
23301,1999-05-17,N,Chile, ,OTRA,M,SIN INFORMACION,Sin Asignación, 
35121,1944-07-15,N,Chile,Residencia Propia,OTRA,F,Soltero,Técnico, 
4812,1960-01-22,N,Chile, ,TECNICO EN COMERCIO EXTERIOR,F,Soltero,Universitario Completo, 
28030,1976-04-20,N,Chile,Residencia Propia,OTRA,F,Casado,Técnico,SIN SEPARACIÓN
8925,1962-04-11,N,Chile, ,PSICOLOGO,M,Soltero,Universitario Completo, 
27509,1972-09-01,N,Chile, ,ARQUITECTO,F,Casado,Sin Asignación, 
32597,1994-11-07,N,Chile, ,OTRA,M,Soltero,Sin Asignación, 
5301,1975-03-08,N,Chile, ,OTRA,F, ,Sin Asignación,-
27594,2009-12-21,N,Chile, ,OTRA,M,Soltero,Sin Asignación, 
22935,1997-06-06,N,Chile, ,OTRA,M,SIN INFORMACION,Sin Asignación, 
27621,1996-09-09,N,Venezuela, ,OTRA,M,SIN INFORMACION,Sin Asignación, 
4709,1984-07-27,N,Portugal,Residencia Familiar,ARQUITECTO,M,Casado,Universitario Completo,CON SEPARACIÓN
15129,1948-10-19,N,Chile,Residencia Propia,OTRA,F,Soltero,Medio, 
25922,1982-02-18,N,Chile,Residencia Arrendada,INGENIERO CIVIL INDUSTRIAL,M,Casado,Universitario Completo,CON SEPARACIÓN
33965,1981-11-11,N,Chile,Residencia Propia,INGENIERO COMERCIAL,M,Casado,Universitario Completo,CON SEPARACIÓN
27397,1993-12-17,S,Chile, ,OTRA,F,Soltero,Sin Asignación, 
2968,1986-11-03,N,Chile,Residencia Arrendada,INGENIERO CIVIL,M,Casado,Universitario Completo,CON SEPARACIÓN
22136,1988-05-11,N,Chile, ,OTRA,M,SIN INFORMACION,Sin Asignación, 
36884,1979-04-18,N,Chile, ,OTRA,M,SIN INFORMACION,Sin Asignación, 
18286,1974-12-24,N,Chile, ,OTRA,M,SIN INFORMACION,Sin Asignación, 
36725,1985-05-20,N,Chile, ,MEDICO,M,Soltero,Universitario Completo, 
22773,1951-11-07,N,Chile, ,OTRA,M,SIN INFORMACION,Sin Asignación, 
29850,1983-01-29,N,Chile,Residencia Propia,INGENIERO COMERCIAL,F,Casado,Universitario Completo,SIN SEPARACIÓN
18256,1973-02-06,N,Chile, ,OTRA,M,SIN INFORMACION,Sin Asignación, 
32028,1974-02-24,N,Chile, ,ABOGADO,F,Soltero,Universitario Completo, 
4435,1971-03-30,N,Chile, ,OTRA,F,SIN INFORMACION,Sin Asignación, 
5960,1957-02-10,N,Chile,Residencia Propia,ABOGADO,M,Casado,Universitario Completo,CON SEPARACIÓN
12428,1976-09-21,N,Chile, ,INGENIERO,M,Soltero,Universitario Completo, 
17395,1963-06-24,N,Chile,Residencia Propia,INGENIERO COMERCIAL,M,Casado,Universitario Incompleto,SIN SEPARACIÓN
20007,1975-05-25,N,Chile,Propia con deuda,INGENIERO COMERCIAL,M,Casado,Universitario Completo,CON SEPARACIÓN
23816,1995-02-06,N,Chile,Residencia Familiar,SONIDISTA,M,Soltero,Universitario Incompleto, 
30927,1939-12-25,N,Chile, ,OTRA,M,Casado,Sin Asignación,SIN SEPARACIÓN
36106,1971-04-09,N,Chile,Propia con deuda,INGENIERO COMERCIAL,M,Casado,Universitario Completo,SIN SEPARACIÓN
5338,1976-08-05,N,Chile,Residencia Propia,ABOGADO,M,Casado,Universitario Completo,SIN SEPARACIÓN
34885,1987-10-29,S,Chile, ,OTRA,M,SIN INFORMACION,Sin Asignación, 
4670,1979-05-24,N,Chile,Residencia Arrendada,ABOGADO,M,Casado,Universitario Completo,SIN SEPARACIÓN
23140,1973-07-27,N,Chile,Residencia Arrendada,ABOGADO,M,Casado,Universitario Completo,CON SEPARACIÓN
34671,1988-09-08,N,Chile,Residencia Familiar,PSICOPEDAGOGO,F,Casado,Universitario Completo,CON SEPARACIÓN
23188,1937-05-08,N,Chile, ,OTRA,F,Viudo,Universitario Completo, 
4379,1963-03-31,N,Chile, ,OTRA,F,SIN INFORMACION,Sin Asignación, 
8941,1992-07-06,N,Chile, ,OTRA,M,SIN INFORMACION,Sin Asignación, 
2908,1989-09-06,N,Chile,Residencia Familiar,ABOGADO,M,Casado,Universitario Completo,CON SEPARACIÓN
12135,1971-08-28,S,Chile, ,OTRA,M,Soltero,Sin Asignación, 
32105,1999-01-03,N,Chile, ,OTRA,F,SIN INFORMACION,Sin Asignación, 
26288,2008-09-25,N,Chile, ,OTRA,F,Soltero,Basico, 
6748,1989-09-07,N,Chile, ,OTRA,F,Soltero,Sin Asignación, 
4258,2000-03-03,N,Chile, ,INGENIERO COMERCIAL,M,Soltero,Universitario Completo, 
32020,1973-03-13,N,Chile,Residencia Arrendada,INGENIERO CIVIL,M,Soltero,Universitario Completo,SIN SEPARACIÓN
13138,1995-07-03,N,Chile, ,OTRA,M,SIN INFORMACION,Sin Asignación, 
35088,1988-06-20,N,Chile,Residencia Familiar,INGENIERO AGRONOMO,M,Casado,Universitario Completo,SIN SEPARACIÓN
27006,1998-07-21,N,Chile, ,OTRA,M,SIN INFORMACION,Sin Asignación, 
4776,1991-03-28,N,Chile, ,OTRA,M,SIN INFORMACION,Sin Asignación, 
15650,1964-02-26,N,Chile,Residencia Arrendada,INGENIERO CIVIL INDUSTRIAL,M,Casado,Universitario Completo,CON SEPARACIÓN
9396,1963-11-25,N,Chile, ,RELACIONADOR PUBLICO,F,Viudo,Sin Asignación, 
2050,1947-05-03,N,Chile,Residencia Propia,OTRA,F,Soltero,Sin Asignación, 
18726,1972-03-13,N,Chile, ,OTRA,M,SIN INFORMACION,Sin Asignación, 
6968,1983-09-29,N,Chile,Residencia Familiar,ABOGADO,F,Soltero,Universitario Completo, 
11741,1979-12-11,N,Chile,Residencia Propia,LICENCIADO EN ARTES,M,Casado,Universitario Completo,CON SEPARACIÓN
7082,2009-08-10,N,Chile, ,OTRA,F,Soltero,Sin Asignación, 
19210,1976-12-04,N,Chile,Residencia Familiar,INGENIERO,F,Casado,Universitario Completo,SIN SEPARACIÓN
16677,1970-02-16,N,Chile,Otras Residencias,INGENIERO,M,Casado,Universitario Completo,CON SEPARACIÓN
23538,1973-06-18,N,Chile,Propia con deuda,INGENIERO CIVIL MECANICO,M,Soltero,Universitario Completo, 
26356,1971-12-18,N,Chile,Residencia Propia,ADMINISTRADOR DE EMPRESAS,M,Casado,Universitario Completo,SIN SEPARACIÓN
11754,1986-11-22,N,Chile,Propia con deuda,INGENIERO COMERCIAL,M,Soltero,Universitario Completo, 
34251,1960-08-24,N,Chile,Residencia Familiar, ,F,Casado,Técnico,CON SEPARACIÓN
12266,1961-01-21,N,Chile, ,OTRA,F,Casado,Sin Asignación, 
33224,1934-08-28,N,Chile, ,OTRA,F, ,Sin Asignación, 
35364,1991-02-09,N,Chile, ,INGENIERO CIVIL MECANICO,M,Casado,Sin Asignación, 
31348,1972-11-21,N,Francia,Propia con deuda,ENOLOGO,M,Casado,Universitario Completo,CON SEPARACIÓN
31313,1968-05-21,N,Chile,Residencia Propia,ADMINISTRADOR PUBLICO,M,Casado,Técnico Universitario,CON SEPARACIÓN
28640,1942-03-05,N,Chile,Residencia Propia,CONSTRUCTOR CIVIL,M,Casado,Universitario Completo,SIN SEPARACIÓN
27215,1945-12-02,N,Chile, ,OTRA,F,Soltero,Universitario Completo,SIN SEPARACIÓN
7995,1993-05-20,N,Chile,Residencia Familiar,INGENIERO COMERCIAL,M,Casado,Universitario Completo,SIN SEPARACIÓN
35823,1985-10-27,S,Chile,Residencia Familiar,INGENIERO CIVIL INDUSTRIAL,M,Soltero,Universitario Completo, 
4045,1997-09-14,N,Chile, ,OTRA,M,SIN INFORMACION,Sin Asignación, 
27359,1950-08-22,N,Chile, ,OTRA,M,SIN INFORMACION,Sin Asignación, 
34677,1952-05-02,N,Chile,Residencia Arrendada,OTRA,M,Casado,Técnico Universitario,CON SEPARACIÓN
29887,1973-12-10,N,Chile,Propia con deuda,INGENIERO CIVIL MECANICO,M,Soltero,Universitario Completo, 
620,1985-07-20,N,Chile,Residencia Arrendada,INGENIERO COMERCIAL,M,Casado,Universitario Completo,CON SEPARACIÓN
18046,1995-02-09,N,Chile, ,OTRA,M,SIN INFORMACION,Sin Asignación, 
8122,1999-05-19,N,Chile,Residencia Familiar,PSICOLOGO,F,Soltero,Universitario Incompleto, 
32648,1972-01-15,N,Chile,Residencia Propia,INGENIERO CIVIL,M,Casado,Universitario Completo,SIN SEPARACIÓN
32742,1967-10-15,N,Chile,Residencia Familiar,ABOGADO,M,Soltero,Universitario Completo,SIN SEPARACIÓN
10659,1962-01-22,N,Chile,Residencia Propia,LICENCIADO EN MATEMATICAS,F,Casado,Universitario Completo,SIN SEPARACIÓN
28200,1971-09-28,N,Chile,Propia con deuda,CONTADOR AUDITOR,M,Casado,Universitario Completo,SIN SEPARACIÓN
10115,1935-02-22,N,Chile, , ,F, ,Sin Asignación, 
20273,1928-06-25,N,Chile, , ,M, ,Sin Asignación, 
15414,1969-08-24,N,Chile,Residencia Propia,INGENIERO CIVIL,M,Casado,Universitario Completo,CON SEPARACIÓN
19035,2003-11-09,N,Chile, , ,M, ,Sin Asignación, 
21596,1960-11-21,N,Chile,Residencia Propia,OTRA,F,Soltero,Sin Asignación, 
15721,1953-04-09,N,Chile, , ,M, ,Sin Asignación, 
1794,1971-04-15,N,Chile, , ,M, ,Sin Asignación, 
5464,1943-08-15,N,Chile,Residencia Propia,ABOGADO,M,Casado,Universitario Completo,SIN SEPARACIÓN
7990,1970-06-14,N,Chile, ,ODONTOLOGO,F,Soltero,Sin Asignación, 
15735,1998-10-09,N,Chile, , ,M, ,Sin Asignación, 
6537,1965-09-08,N,Chile, , ,F, ,Sin Asignación, 
15738,1991-01-10,N,Chile, , ,M, ,Sin Asignación, 
29689,1991-12-27,N,Chile, , ,M, ,Sin Asignación, 
34317,1996-06-28,N,Chile, , ,M, ,Sin Asignación, 
15737,1969-05-28,N,Chile, , ,M, ,Sin Asignación, 
34669,1987-07-24,N,Chile,Residencia Familiar,ACTOR,F,Soltero,Universitario Completo, 
29959,1962-11-07,N,Chile,Residencia Familiar,INGENIERO AGRONOMO,F,Casado,Universitario Completo,SIN SEPARACIÓN
7306,1986-11-19,N,Chile,Residencia Familiar,PROFESOR,F,Soltero,Universitario Completo, 
32413,1949-03-16,N,Chile,Residencia Propia,ABOGADO,F,Viudo,Universitario Completo, 
